id;cp;localidad;idProvincia
342;1649;Arroyo Torito;1
343;1649;Arroyo Toro;1
344;1649;Arroyo Tres Sargentos;1
345;1649;Arroyo Tuyupare;1
346;1649;Arroyo Veinticinco De Noviembre;1
347;6437;Arroyo Venado;1
348;1649;Arroyo Veron;1
349;1649;Arroyo Vico;1
350;2805;Arroyo Zanjon;1
351;1895;Arturo Segui;1
352;6433;Arturo Vatteone;1
353;6640;Asamblea;1
354;6003;Ascension;1
355;6469;Asturias;1
356;6471;Atahualpa;1
357;1913;Atalaya;1
358;7116;Atilio Pessagno;1
359;2808;Atucha;1
360;7165;Autocamping El Pinar;1
361;7105;Autocamping San Clemente;1
362;1870;Avellaneda;1
363;8133;Avestruz;1
364;7150;Ayacucho;1
365;6721;Azcuenaga;1
366;8181;Azopardo;1
367;7005;Azucena;1
368;7300;Azul;1
369;1825;A. A. Fernandez;1
370;6516;Bacacay;1
371;6403;Badano;1
372;1808;Badiola;1
373;8000;Bahia Blanca;1
374;8000;Bahia Blanca Noroeste;1
375;8506;Bahia San Blas;1
376;6013;Baigorrita;1
377;8115;Bajo Hondo;1
378;7620;Balcarce;1
379;7113;Balneario Aguas Verdes;1
380;1744;Balneario Cascallares;1
381;7505;Balneario Claromeco;1
382;7609;Balneario Mar Chiquita;1
383;8153;Balneario Monte Hermoso;1
384;7511;Balneario Oceano;1
385;7167;Balneario Ostende;1
386;1802;Balneario Popular;1
387;1931;Balneario Punta Lara;1
388;7511;Balneario Reta;1
389;8153;Balneario Sauce Grande;1
390;8109;Balneario (Parada);1
391;6070;Balsa;1
392;7305;Bañado De Las Flores;1
393;1617;Bancalari;1
394;6244;Banderalo;1
395;1828;Banfield;1
396;2942;Baradero;1
397;7005;Barker;1
398;7247;Barrientos;1
399;2700;Barrio 25 De Mayo;1
400;1888;Barrio 9 De Julio (Florencio Varela, Pdo. F. Varela);1
401;1665;Barrio 9 De Julio (Jose C. Paz, Pdo. Gral. Sarmiento);1
402;7600;Barrio 9 De Julio (Mar Del Plata, Pdo. Gral. Pueyrredon);1
403;2900;Barrio 9 De Julio (San Nicolas, Pdo. San Nicolas);1
404;2700;Barrio Acevedo;1
405;1714;Barrio Aeronautico (Ituzaingo, Pdo. Moron);1
406;1665;Barrio Aeronautico (Jose C. Paz, Pdo. Gral. Sarmiento);1
407;1759;Barrio Alberdi (Gonzalez Catan, Estafeta No. 1, La Matanza);1
408;1665;Barrio Alberdi (Jose C. Paz, Pdo. Gral. Sarmiento);1
409;7600;Barrio Alfar;1
410;8000;Barrio Almafuerte (Bahia Blanca, Pdo. Bahia Blanca);1
411;1856;Barrio Almafuerte (Glew, Pdo. Alte. Brown);1
412;1766;Barrio Almafuerte (Tablada, Pdo. La Matanza);1
413;1617;Barrio Almte. Brown;1
414;1836;Barrio Alto Verde (Llavallol, Pdo. De Lomas De Zamora);1
415;2900;Barrio Alto Verde (San Nicolas, Pdo. San Nicolas);1
416;1665;Barrio Altos De Jose C.Paz;1
417;1757;Barrio Altos De Laferrere;1
418;1806;Barrio Altos De Tristan Suarez;1
419;1665;Barrio Antartida Argentina;1
420;1763;Barrio Apolo;1
421;1607;Barrio Arca;1
422;1742;Barrio Arco Iris;1
423;1665;Barrio Argital;1
424;1852;Barrio Arzeno;1
425;1847;Barrio Asuncion;1
426;8000;Barrio Avellaneda;1
427;1708;Barrio Aviacion;1
428;1804;Barrio A.T.E.;1
429;1611;Barrio Baires;1
430;7630;Barrio Banco Provincia;1
431;1663;Barrio Barilari;1
432;7601;Barrio Batan;1
433;1619;Barrio Beliera;1
434;1642;Barrio Boating Club;1
435;7600;Barrio Bosque Alegre;1
436;1759;Barrio Calderon De La Barca;1
437;2900;Barrio Carcel;1
438;6000;Barrio Carosio;1
439;7600;Barrio Caisamar;1
440;1744;Barrio Cascallares;1
441;7300;Barrio Ceferino Namuncura;1
442;1884;Barrio Centenario;1
443;2741;Barrio Central;1
444;7630;Barrio Centro;1
445;1888;Barrio Cinco Esquinas;1
446;8109;Barrio Ciudad Atlantida;1
447;2930;Barrio Cobos;1
448;7600;Barrio Colinas De Peralta Ramos;1
449;1763;Barrio Colonia San Lorenzo;1
450;7600;Barrio Constitucion;1
451;1888;Barrio Cortez;1
452;1663;Barrio Cortijo Nuevo;1
453;1667;Barrio Chelito;1
454;1657;Barrio Churruca;1
455;6600;Barrio De La Carcel;1
456;1708;Barrio De La Merced;1
457;7600;Barrio De Las Avenidas;1
458;1659;Barrio De Suboficiales Sargento Cabral (Apeadero F.C.G.U.);1
459;1806;Barrio Del Plata;1
460;2900;Barrio Destileria;1
461;1615;Barrio Devoto;1
462;1611;Barrio Doctor Ricardo Gutierrez;1
463;2914;Barrio Don Antonio;1
464;7600;Barrio Don Bosco;1
465;1854;Barrio Don Luis;1
466;1852;Barrio Doña Sol;1
467;1881;Barrio Draimar;1
468;1881;Barrio Dreymar Ii;1
469;1765;Barrio San Miguel;1
470;1889;Barrio El 36;1
471;1765;Barrio El Atalaya;1
472;1617;Barrio El Boyero;1
473;8109;Barrio El Castillo;1
474;1663;Barrio El Cortijo;1
475;1900;Barrio El Cruce;1
476;1686;Barrio El Destino;1
477;1759;Barrio El Dorado (Gonzalez Catan, Pdo. La Matanza);1
478;1879;Barrio El Dorado (Quilmes Oeste, Pdo. Quilmes);1
479;1617;Barrio El Embrujo;1
480;1663;Barrio El Faro;1
481;1852;Barrio El Gaucho (Burzaco, Pdo. Alte. Brown);1
482;7600;Barrio El Gaucho (Mar Del Plata, Pdo. Gral. Pueyrredon);1
483;1852;Barrio El Hornero;1
484;7130;Barrio El Hueco;1
485;1613;Barrio El Jaguel;1
486;1613;Barrio El Lucero;1
487;1765;Barrio El Manzanar;1
488;1759;Barrio El Mojon;1
489;1613;Barrio El Ombu (Los Polvorines, Pdo. Gral. Sarmiento);1
490;1761;Barrio El Ombu (Pontevedra, Pdo. Merlo);1
491;1884;Barrio El Once;1
492;1891;Barrio El Parque;1
493;1849;Barrio El Patronato;1
494;1617;Barrio El Perejil;1
495;1722;Barrio El Pericon;1
496;1915;Barrio El Porteño;1
497;1746;Barrio El Porvenir;1
498;1882;Barrio El Refugio;1
499;2741;Barrio El Retiro;1
500;1761;Barrio El Sol (Pontevedra, Pdo. Merlo;1
501;1763;Barrio El Sol (Puente Ezcurra, Pdo. La Matanza);1
502;1849;Barrio El Trebol;1
503;1617;Barrio El Zorzal;1
504;7600;Barrio Emir Ramon Juarez;1
505;1617;Barrio Enrique Delfino;1
506;1763;Barrio Esperanza;1
507;7100;Barrio Estacion Dolores;1
508;7631;Barrio Estacion Quequen;1
509;1802;Barrio Esteban Echeverria;1
510;7600;Barrio Faro Norte;1
511;1617;Barrio Ferrini;1
512;1882;Barrio Ferroviario;1
513;6620;Barrio Florencio Varela;1
514;7600;Barrio Florentino Ameghino;1
515;1665;Barrio Frino;1
516;1623;Barrio Garin Norte;1
517;7600;Barrio Gastronomico;1
518;1884;Barrio General Belgrano (Berazategui, Pdo. Berazategui);1
519;1888;Barrio General Belgrano (Florencio Varela, Pdo. F. Varela);1
520;1854;Barrio General Belgrano (Longchamps, Pdo. Alte. Brown);1
521;1746;Barrio General Guemes;1
522;2700;Barrio General Manuel Belgrano;1
523;2901;Barrio General Manuel Savio;1
524;1642;Barrio General Pueyrredon;1
525;7600;Barrio General Roca;1
526;6000;Barrio General San Martin;1
527;1772;Barrio General Jose M. Paz;1
528;1856;Barrio Gorriti;1
529;1842;Barrio Grande;1
530;1847;Barrio Guadalupe (Rafael Calzada, Pdo. Alte. Brown);1
531;1881;Barrio Guadalupe (San Francisco Solano, Pdo. Quilmes);1
532;1900;Barrio Hipodromo;1
533;1878;Barrio Hornos;1
534;1763;Barrio Ignacio Arieta;1
535;1759;Barrio Independencia;1
536;6400;Barrio Indio Trompa;1
537;1615;Barrio Iparraguirre;1
538;1665;Barrio Irigoin;1
539;1884;Barrio Jacaranda;1
540;1900;Barrio Jardin (La Plata, Pdo. La Plata);1
541;7400;Barrio Jardin (Olavarria, Pdo. Olavarria);1
542;1744;Barrio Jardines De Moreno;1
543;1686;Barrio Jhonson;1
544;1661;Barrio Jorge Newbery (Bella Vista, Pdo. Gral. Sarmiento);1
545;1757;Barrio Jorge Newbery (Laferrere, Pdo. La Matanza);1
546;1744;Barrio Jose A. Cortejarena;1
